IF_adj,diferenca_limite,diferenca_prazo,diferenca_taxa
Banco do Brasil,-160221.85000000018,,
Banco do Brasil,48935.539999999979,-30.0,
Banco do Brasil,98397.75999999998,-42.0,
Banco do Brasil,64918.170000000013,,
Banco do Brasil,-178424.34999999998,,
Banco do Brasil,-34758.350000000035,,
Banco do Brasil,123152.35,,
Banco do Brasil,26271.449999999983,-42.0,
Banco do Brasil,148134.51000000004,,
Banco do Brasil,71469.940000000017,,
Banco do Brasil,-97419.020000000033,-30.0,
Banco do Brasil,-260678.02999999985,,
Banco do Brasil,120436.87999999999,,
Banco do Brasil,167140.86000000002,,
Banco do Brasil,97075.879999999946,,
Banco do Brasil,-92339.06,-18.0,
Banco do Brasil,112944.41999999998,-12.0,
Banco do Brasil,-61155.479999999981,-18.0,
Banco do Brasil,12881.64,,
Banco do Brasil,-51939.100000000006,,
Banco do Brasil,-133849.34999999998,-18.0,
Banco do Brasil,2625.9200000000419,,
Banco do Brasil,-156959.29000000007,,
Banco do Brasil,27583.42,,
Banco do Brasil,-25454.510000000009,,
Banco do Brasil,11372.970000000001,-18.0,
Banco do Brasil,-108390.47000000002,-42.0,
Banco do Brasil,82892.200000000012,,
Banco do Brasil,-1621.3900000000431,,
Banco do Brasil,-188433.74,,
Banco do Brasil,86490.28,,
Banco do Brasil,62562.399999999994,,
Banco do Brasil,94117.209999999992,,
Banco do Brasil,-2554.5400000000227,,
Banco do Brasil,6487.2899999999863,,
Banco do Brasil,-39242.850000000006,,
Banco do Brasil,-41323.939999999981,,
Banco do Brasil,121036.23,,
Banco do Brasil,-48901.109999999986,,
Banco do Brasil,-7562.1800000000039,,
Banco do Brasil,197776.1999999999,,
Banco do Brasil,-104275.29,,
Banco do Brasil,17090.670000000006,,
Banco do Brasil,39107.650000000009,,
Banco do Brasil,-237234.07999999996,,
Banco do Brasil,77375.099999999962,,
Banco do Brasil,4772.7200000000157,,
Banco do Brasil,-1630.489999999998,,
Banco do Brasil,-137332.65,,
Banco do Brasil,-64854.28,,
Banco do Brasil,24120.859999999971,,
Banco do Brasil,-106595.81,,
Banco do Brasil,39741.06,-42.0,
Banco do Brasil,17468.979999999996,-42.0,
Banco do Brasil,28791.280000000013,,
Banco do Brasil,-228386.2,,
Banco do Brasil,-43402.929999999993,,
Banco do Brasil,23864.71,-18.0,
Banco do Brasil,20187.309999999998,,
Banco do Brasil,-31861.900000000016,,
Banco do Brasil,171068.19999999998,,
Banco do Brasil,4179.2200000000885,,
Banco do Brasil,-22204.810000000009,-42.0,
Banco do Brasil,46500.330000000009,-42.0,
Banco do Brasil,46502.010000000009,,
Banco do Brasil,-332701.55000000005,,
Banco do Brasil,38260.780000000013,,
Banco do Brasil,-59412.370000000068,,
Banco do Brasil,6896.7499999999964,,
Banco do Brasil,-333846.62999999995,,
Banco do Brasil,36490.549999999988,-12.0,
Banco do Brasil,-52250.200000000012,,
Banco do Brasil,-93587.53,,
Banco do Brasil,-467792.85000000003,,
Banco do Brasil,112368.51,,
Banco do Brasil,-109526.94999999997,-42.0,
Banco do Brasil,-77141.680000000022,,
Banco do Brasil,-29837.090000000015,,
Banco do Brasil,-79617.540000000008,,
Banco do Brasil,-36872.34,,
Banco do Brasil,-44997.95,-24.0,
Banco do Brasil,85843.890000000014,-30.0,
Banco do Brasil,-73280.740000000049,,
Banco do Brasil,27597.430000000022,,
Banco do Brasil,-52105.16,-12.0,
Banco do Brasil,-13618.099999999969,,
Banco do Brasil,40751.879999999976,,
Banco do Brasil,73066.56,,
Banco do Brasil,40264.629999999976,,
Banco do Brasil,100779.20000000003,,
Banco do Brasil,-316666.9499999999,,
Banco do Brasil,-95492.340000000055,,
Banco do Brasil,-275396.58,,
Banco do Brasil,-10657.960000000001,-12.0,
Banco do Brasil,138672.31999999998,,
Banco do Brasil,-107050.56000000003,,
Banco do Brasil,539.36999999998807,,
Banco do Brasil,-42593.50999999998,,
Banco do Brasil,186666.18,,
Banco do Brasil,-41877.919999999933,,
Banco do Brasil,21968.53,-30.0,
Banco do Brasil,179033.75,-42.0,
Banco do Brasil,20630.760000000009,,
Banco do Brasil,-45381.12999999999,,
Banco do Brasil,120028.54000000004,,
Banco do Brasil,-41510.790000000008,,
Banco do Brasil,-96927.260000000009,,
Banco do Brasil,-70246.9,-24.0,
Banco do Brasil,-30169.430000000008,-36.0,
Banco do Brasil,780.16999999999825,-48.0,
Banco do Brasil,-39924.99000000002,,
Banco do Brasil,-62167.099999999991,,
Banco do Brasil,11296.559999999994,,
Banco do Brasil,2269.9500000000044,,
Banco do Brasil,-8056.2499999998836,,
Banco do Brasil,-1269.3899999999994,-36.0,
Banco do Brasil,35453.200000000041,,
Banco do Brasil,53945.450000000041,,
Banco do Brasil,-110411.32999999996,,
Banco do Brasil,-74255.930000000008,,
Banco do Brasil,-116558.17000000004,,
Banco do Brasil,-12554.349999999997,,
Banco do Brasil,61726.690000000061,,
Banco do Brasil,-44626.780000000042,,
Banco do Brasil,34194.350000000035,,
Banco do Brasil,-52379.410000000011,,
Banco do Brasil,50255.079999999987,,
Banco do Brasil,-227547.41000000003,,
Banco do Brasil,274039.96,,
Banco do Brasil,-14257.089999999993,,
Banco do Brasil,-19363.360000000011,,
Banco do Brasil,-385140.57000000007,,
Banco do Brasil,-15526.429999999935,,
Banco do Brasil,-31160.05999999999,,
Banco do Brasil,-121.4399999999896,,
Banco do Brasil,-49805.02999999997,,
Banco do Brasil,-189689.08000000005,,
Banco do Brasil,129129.90000000002,,
Banco do Brasil,6166.08,-24.0,
Banco do Brasil,84713.489999999991,,
Banco do Brasil,-19639.19999999999,-36.0,
Banco do Brasil,-83405.27,-42.0,
Banco do Brasil,-110635.70999999999,-162.0,
Banco do Brasil,26352.409999999996,-30.0,
Banco do Brasil,-51748.56,,
Banco do Brasil,-84529.049999999945,,
Banco do Brasil,100536.01000000002,,
Banco do Brasil,-228171.61000000002,,
Banco do Brasil,140930.76,,
Banco do Brasil,50686.12000000001,,
Banco do Brasil,10300.780000000013,,
Banco do Brasil,-39710.319999999985,,
Banco do Brasil,335.18999999998778,,
Banco do Brasil,-277142.86999999994,,
Banco do Brasil,-53336.390000000007,,
Banco do Brasil,110713.36,,
Banco do Brasil,61233.12000000001,,
Banco do Brasil,-43677.250000000036,,
Banco do Brasil,-4815.8899999999758,,
Banco do Brasil,87349.51,6.0,
Banco do Brasil,-14997.62999999999,,
Banco do Brasil,-22828.360000000015,,
Banco do Brasil,27351.160000000003,,
Banco do Brasil,39953.939999999995,,
Banco do Brasil,68991.87999999999,-18.0,
Banco do Brasil,-101104.95999999999,-42.0,
Banco do Brasil,-14348.720000000001,,
Banco do Brasil,-10232.46,,
Banco do Brasil,120017.05999999997,,
Banco do Brasil,-50923.010000000038,,
Banco do Brasil,-32598.010000000002,,
Banco do Brasil,-66527.049999999988,,
Banco do Brasil,43249.149999999994,,
Banco do Brasil,-28120.050000000003,,
Banco do Brasil,-179914.25,,
Banco do Brasil,-70957.8,,
Banco do Brasil,-206242.87999999989,,
Banco do Brasil,-363130.64999999997,,
Banco do Brasil,161555.25,9.0,0.0429913425579656
Banco do Brasil,17838.630000000005,-18.0,
Banco do Brasil,-52597.950000000012,-42.0,
Banco do Brasil,-1309.0500000000029,,
Banco do Brasil,73150.510000000009,,
Banco do Brasil,46595.540000000052,,
Banco do Brasil,-7559.7499999999873,,
Banco do Brasil,-353707.96000000014,,
Banco do Brasil,36.459999999999127,-30.0,
Banco do Brasil,55165.56,-42.0,
Banco do Brasil,-177486.05,,
Banco do Brasil,-76809.78,,
Banco do Brasil,7361.6100000000006,-18.0,
Banco do Brasil,42377.950000000012,,
Banco do Brasil,-40150.639999999985,,
Banco do Brasil,-95286.05,,
Banco do Brasil,-154724.72999999992,,
Banco do Brasil,1519.7999999999993,,
Banco do Brasil,-63274.01999999999,,
Banco do Brasil,68275.570000000065,-30.0,
Banco do Brasil,-570.37000000002445,-24.0,
Banco do Brasil,-14612.310000000001,-48.0,
Banco do Brasil,-66520.989999999991,-48.0,
Banco do Brasil,-15393.849999999999,-168.0,
Banco do Brasil,-81289.379999999976,,
Banco do Brasil,-252820.35,,
Banco do Brasil,136745.97999999998,,
Banco do Brasil,-17550.589999999986,,
Banco do Brasil,-8128.4500000000335,,
Banco do Brasil,2680.8299999999945,,
Banco do Brasil,69813.35,-18.0,
Banco do Brasil,-55864.570000000007,-30.0,
Banco do Brasil,-54314.759999999995,-42.0,
Banco do Brasil,90293.15,,
Banco do Brasil,-161905.12,,
Banco do Brasil,-43496.630000000019,,
Banco do Brasil,-14408.559999999939,,
Banco do Brasil,93497.57,,
Banco do Brasil,43476.42,-30.0,
Banco do Brasil,-78797.08,,
Banco do Brasil,-18850.560000000012,,
Banco do Brasil,174823.02999999997,,
Banco do Brasil,-58763.869999999995,,
Banco do Brasil,49911.459999999992,,
Banco do Brasil,-19711.160000000033,,
Banco do Brasil,108534.03,6.0,
Banco do Brasil,-32266.150000000031,,
Banco do Brasil,-31102.910000000007,,
Banco do Brasil,-100721.52000000002,,
Banco do Brasil,-8241.1299999999937,,
Banco do Brasil,18881.329999999987,,
Banco do Brasil,-120948.50000000001,,
Banco do Brasil,-40345.979999999996,,
Banco do Brasil,-202085.73,,
Banco do Brasil,104631.0,15.0,0.0075964132367609821
Banco do Brasil,-392954.40000000014,,
Banco do Brasil,110843.79000000004,,
